OBJECTID,STOPNAME,TRAPEZESTOPABBR,RUCUSSTOPABBR,STOPID,LATITUDE,LONGITUDE,ACCESSIBILITYMASK,ATSTREET,ONSTREET,POSITION,ORIENTATION,SERVICEPLANNINGSTOPTYPE,SHELTER,INSERT_TIMESTAMP,SDE_ID,SIGNUPID,SUPERVISOR_DISTRICT,point,SF_Find_Neighborhoods,Current_Police_Districts,Current_Supervisor_Districts,Analysis_Neighborhoods
30442,40 Crestline Dr NE-MB/SB,CRSTH 40,,4209,37.750388,-122.446577,0,,CRESTLINE DR,,NE,,0,09/11/2019 06:58:28 PM +0000,1633149,120,,"(37.75038800023215, -122.44657699954975)",51,7,5,38
33635,Potrero Ave & 19th St,POTR19S0,,7912,37.760606,-122.407168,,19TH ST,POTRERO AVE,,,BZ,,09/11/2019 06:58:28 PM +0000,1640008,120,,"(37.76060600037691, -122.40716799969624)",53,3,9,20
33462,17th Ave&Quintara St SE-NS/PS,17AVQUIN,,7572,37.748592,-122.473834,0,QUINTARA ST,17TH AVE,,,,0,09/11/2019 06:58:28 PM +0000,1639828,120,,"(37.7485920003678, -122.47383400003253)",44,10,8,41
32978,Turk St&Chabot Ter NW-FS/BZ,TURKCBO0,TURKCBOT,6714,37.778093,-122.451699,0,CHABOT TER,TURK BLVD,FS,NW,BZ,0,09/11/2019 06:58:28 PM +0000,1639644,120,,"(37.778093000374376, -122.45169899993147)",12,7,4,18
32855,Bush St&Montgomery St SE-FS/BZ,BUSHMTG1,BUSHMTGY,3815,37.790924,-122.402118,0,MONTGOMERY ST,BUSH ST,FS,SE,BZ,0,09/11/2019 06:58:28 PM +0000,1638013,120,,"(37.79092400008409, -122.4021179997714)",108,6,3,8
33163,Third Street&Mariposa St. NE-FS/SB,.3STMAR1,,7381,37.764427,-122.388761,0,MARIPOSA ST,3RD ST,,,,0,09/11/2019 06:58:28 PM +0000,1638752,120,,"(37.764426999744714, -122.38876099968398)",34,2,10,26
30968,Chenery St&Mateo St S-NS/SB,CHNYMAT1,CHNYMATO,3970,37.73633,-122.429,0,MATEO ST,CHENERY ST,NS,S,FL,0,09/11/2019 06:58:28 PM +0000,1633930,120,,"(37.73633000021141, -122.42899999988344)",59,9,5,10
30748,Diamond Heights Blvd&Berkeley Way SE-NS,DHTSBKL1,DHTSBKLY,4361,37.73867,-122.43668,0,BERKELEY WAY,DIAMOND HEIGHTS BLVD,NS,SE,FL,0,09/11/2019 06:58:28 PM +0000,1633747,120,,"(37.7386700004239, -122.43667999974417)",96,9,5,10
32347,Presidio Ave&California St NW-NS/BZ,PRESCAL0,PRESCALI,6089,37.787319,-122.446851,0,SACRAMENTO ST,PRESIDIO AVE,NS,NW,BZ,1,09/11/2019 06:58:28 PM +0000,1637184,120,,"(37.78731899971144, -122.44685099966497)",10,8,6,31
30148,18th St&Pennsylvania Ave NE-NS/BZ,18STPEN1,18STPENN,3342,37.762828,-122.393471,0,PENNSYLVANIA AVE,18TH ST,NS,NE,BZ,0,09/11/2019 06:58:28 PM +0000,1632885,120,,"(37.76282799967534, -122.39347100017483)",54,2,9,26
30924,Eucalyptus Dr&Junipero Serra Blvd SW-NS,EUCAJ.S0,EUCAJ.S.,4546,37.730988,-122.472442,0,JUNIPERO SERRA BLVD,EUCALYPTUS DR,NS,SW,,0,09/11/2019 06:58:28 PM +0000,1634303,120,,"(37.73098799982541, -122.47244200031366)",41,10,8,41
31233,Fillmore St&Sacramento St SW-FS,FILLSA10,FILLSACO,4639,37.789577,-122.43404,0,SACRAMENTO ST,FILLMORE ST,FS,SW,,0,09/11/2019 06:58:28 PM +0000,1634387,120,,"(37.78957699993712, -122.43404000053287)",102,4,6,30
32250,Noriega St&43rd Ave SW-NS/BZ,NORI43A1,NORI43AV,5758,37.753026,-122.502309,0,43RD AVE,NORIEGA ST,NS,SW,BZ,0,09/11/2019 06:58:28 PM +0000,1637086,120,,"(37.7530259999052, -122.50230900030687)",39,10,7,35
30741,Geary Blvd&6TH Ave SW-NS/BZ,GEAR 6A1,GEAR 6AV,4258,37.780902,-122.464377,0,6TH AVE,GEARY BLVD,NS,SW,BZ,0,09/11/2019 06:58:28 PM +0000,1633734,120,,"(37.78090199977189, -122.46437700001565)",5,8,4,11
31578,Pacific Ave&Polk St SE-FS/BZ,PACFPOL0,PACFPOLK,5851,37.794998,-122.42125,0,POLK ST,PACIFIC AVE,FS,SE,,1,09/11/2019 06:58:28 PM +0000,1635443,120,,"(37.79499800004037, -122.4212500001369)",105,4,3,32
31907,Quintara St&28th Ave SW-NS/PS,QUIN28A1,QUIN28AV,6151,37.74816,-122.48586,0,28TH AVE,QUINTARA ST,NS,SW,FL,0,09/11/2019 06:58:28 PM +0000,1635931,120,,"(37.74815999995991, -122.48585999985693)",40,10,7,35
32180,Ulloa St&Lenox Way NW-FS,ULOALEN0,ULOALENX,6738,37.741125,-122.466155,0,LENOX WAY,ULLOA ST,FS,NW,,1,09/11/2019 06:58:28 PM +0000,1636529,120,,"(37.74112500013842, -122.46615500018885)",46,10,8,41
31654,North Point St&Jones St SW-NS/BZ,N.PTJON0,N.PTJONE,5461,37.806052,-122.417176,0,JONES ST,NORTH POINT ST,NS,SW,BZ,0,09/11/2019 06:58:28 PM +0000,1636100,120,,"(37.80605200035775, -122.41717599981537)",99,6,3,23
32750,3rd St&Carrol Ave SW-FS/SI,3ST CAR1,3ST CAR1,7344,37.725241,-122.394394,0,CARROLL AVE,03RD ST,FS,SW,SI,0,09/11/2019 06:58:28 PM +0000,1639310,120,,"(37.72524100020078, -122.39439400016161)",86,2,9,1
32987,Diamond Heights Blvd Gold Mine Dr NW,DHTSG M0,DHTSG MI,4368,37.74029,-122.43588,0,GOLD MINE DR,DIAMOND HEIGHTS BLVD,NS,NW,FL,0,09/11/2019 06:58:28 PM +0000,1638498,120,,"(37.74029000033237, -122.43588000037667)",57,9,5,10
31393,Hyde St&Clay St NW-NS/BZ,HYDECLA0,HYDECLAY,5068,37.79287,-122.41784,0,CLAY ST,HYDE ST,NS,NW,BZ,1,09/11/2019 06:58:28 PM +0000,1634753,120,,"(37.792870000389215, -122.41783999996458)",16,6,3,32
32862,Clement St&4TH Ave SE-FS/BZ,CLMT 4A1,CLMT 4AV,4041,37.78299,-122.46195,0,04TH AVE,CLEMENT ST,FS,SE,BZ,0,09/11/2019 06:58:28 PM +0000,1638027,120,,"(37.782990000076744, -122.46195000051966)",5,8,4,11
32986,Columbus Ave&Filbert St W-NS/BZ,COLMFIL1,COLMFILB,4105,37.801188,-122.411605,0,FILBERT ST,COLUMBUS AVE,NS,W,BZ,0,09/11/2019 06:58:28 PM +0000,1638496,120,,"(37.801188000398746, -122.41160500008493)",107,6,3,6
30742,Columbus Ave&Jackson St OB SW-FS/BZ,COLMJAC0,COLMJACK,4110,37.79626,-122.40442,0,JACKSON ST,COLUMBUS AVE,FS,SW,BX,0,09/11/2019 06:58:28 PM +0000,1633736,120,,"(37.79625999981402, -122.40442000002943)",104,6,3,6
30089,19th Ave&Moraga St SE-NS/BZ,19AVMOR1,19AVMORA,3373,37.75599,-122.47642,0,MORAGA ST,19TH AVE,NS,SE,BZ,0,09/11/2019 06:58:28 PM +0000,1632407,120,,"(37.75598999988026, -122.47641999947069)",44,10,8,14
32215,Sutter St&Octavia St NW-FS/BZ,SUTTOCT0,SUTTOCTA,6602,37.786933,-122.427062,0,OCTAVIA ST,SUTTER ST,FS,NW,BZ,1,09/11/2019 06:58:28 PM +0000,1636602,120,,"(37.78693300005122, -122.42706199975493)",101,4,11,30
30544,California St&Hyde St NW-FS,CALIHYD0,CALIHYDE,3867,37.791018,-122.41756,0,HYDE ST,CALIFORNIA ST,FS,NW,,0,09/11/2019 06:58:28 PM +0000,1633363,120,,"(37.79101799964444, -122.4175599998888)",16,6,3,21
30341,20th Ave&Buckingham Way SW-FS/SB,20AVBUC1,20AVBUCK,3405,37.729997,-122.476049,0,WINSTON DR,20TH AVE,NS,NW,,0,09/11/2019 06:58:28 PM +0000,1633033,120,,"(37.72999699976503, -122.47604900014528)",41,10,8,16
31561,Laguna Honda Blvd&Dewey Blvd E-NS,LGHNDEW0,LGHNDEWY,5244,37.747229,-122.459076,0,DEWEY BLVD,LAGUNA HONDA BLVD,NS,E,FL,0,09/11/2019 06:58:28 PM +0000,1635386,120,,"(37.74722899985234, -122.459075999987)",49,7,8,41
33044,Jackson St &Van Ness Av S MB/BZ,JACKVNPK,,7941,37.793963,-122.422191,,POLK ST,JACKSON ST,,,,,09/11/2019 06:58:28 PM +0000,1640065,120,,"(37.79396300012129, -122.42219100006704)",105,4,3,32
33169,Winston Dr&20th Ave NE-NS/BZ,WINS20A0,WINS20AV,6950,37.727017,-122.475922,0,20TH AVE,WINSTON DR,NS,NE,,0,09/11/2019 06:58:28 PM +0000,1638771,120,,"(37.7270170001297, -122.47592200020739)",41,10,8,16
33534,Masonic Ave&Fulton St SE-NS/RC,MSICFUL1,MSICFULT,5706,37.77571,-122.44636,0,FULTON ST,MASONIC AVE,NS,SE,BZ,1,09/11/2019 06:58:28 PM +0000,1638381,120,,"(37.77570999969473, -122.4463600001503)",24,7,11,18
33409,513 Parnassus UCSF Parnassus SW-NS/BZ,PARN513,,7688,37.763299,-122.458208,0,03RD AVE,PARNASSUS AVE,,,,0,09/11/2019 06:58:28 PM +0000,1639803,120,,"(37.763299000164665, -122.45820800000827)",110,7,8,14
30474,39th Ave&Quintara St SE-NS,39AVQUI0,39AVQUIN,3563,37.747621,-122.497424,0,QUINTARA ST,39TH AVE,NS,SE,,0,09/11/2019 06:58:28 PM +0000,1633212,120,,"(37.747620999905955, -122.49742399994474)",39,10,7,35
31733,Market St&Van Ness Ave N-NS/SI,MRKTV.N0,MRKTV.N.,5696,37.775198,-122.419252,0,SOUTH VAN NESS AVE,MARKET ST,NS,N,SI,0,09/11/2019 06:58:28 PM +0000,1635493,120,,"(37.77519799971672, -122.41925200011313)",21,1,10,36
32190,Noriega St&25th Ave NE-NS/BZ,NORI25A0,NORI24AV,5741,37.754042,-122.482773,0,25TH AVE,NORIEGA ST,NS,NE,,0,09/11/2019 06:58:28 PM +0000,1636549,120,,"(37.754041999569495, -122.48277300048974)",39,10,7,35
30243,7th St&Mission St NE-FS/BZ,.7STMIS1,7STMISS,3195,37.779327,-122.411032,0,STEVENSON ST,07TH ST,NS,E,BZ,0,09/11/2019 06:58:28 PM +0000,1632722,120,,"(37.77932699982294, -122.41103199959515)",32,5,10,34
