OBJECTID,STOPNAME,TRAPEZESTOPABBR,RUCUSSTOPABBR,STOPID,LATITUDE,LONGITUDE,ACCESSIBILITYMASK,ATSTREET,ONSTREET,POSITION,ORIENTATION,SERVICEPLANNINGSTOPTYPE,SHELTER,INSERT_TIMESTAMP,SDE_ID,SIGNUPID,SUPERVISOR_DISTRICT,point,SF_Find_Neighborhoods,Current_Police_Districts,Current_Supervisor_Districts,Analysis_Neighborhoods
33590,16th St&Church St SW-NS/BZ,16STCHU0,,7834,37.764457,-122.428791,,CHURCH ST,16TH ST,,,,,09/11/2019 06:58:28 PM +0000,1639940,120,,"(37.76445699971263, -122.42879100042555)",37,3,5,5
31958,Judah St&La Playa St NW-FS,JUDALAP0,,7219,37.760349,-122.508685,0,LA PLAYA,JUDAH ST,,,,0,09/11/2019 06:58:28 PM +0000,1636226,120,,"(37.760349000429414, -122.50868499992393)",39,10,7,35
31608,Noe St&27th St SE-NS/PS,NOE 27S1,NOE 27ST,5733,37.74654,-122.43132,0,27TH ST,NOE ST,NS,SE,,0,09/11/2019 06:58:28 PM +0000,1635087,120,,"(37.746539999877655, -122.43131999973647)",84,9,5,22
33619,D.C. Bart Parking Lot E-MB/BZ,BARTDELO,,7925,37.705969,-122.468769,,WEST STATION RD,BART ACCESS RD,,,,,09/11/2019 06:58:28 PM +0000,1639973,120,,"(37.705968999562344, -122.46876900021346)",,,,
33486,Alemany Blvd&Folsom St NW-FS/BZ,ALEMFOLS,,7626,37.73327,-122.413919,0,FOLSOM ST,ALEMANY BLVD,FS,,BZ,0,09/11/2019 06:58:28 PM +0000,1639865,120,,"(37.73327000023989, -122.4139190002294)",83,9,2,2
31677,3rd St&Le Conte Ave S-FS/SI,3ST LCN1,,7394,37.71864,-122.397697,0,BAY SHORE BLVD,03RD ST,,,,0,09/11/2019 06:58:28 PM +0000,1635860,120,,"(37.718639999678, -122.39769699969462)",88,2,9,1
30870,Divisadero St&Jackson St SE-NS/PS,DIVIJAC1,DIVIJACK,4427,37.79154,-122.44108,0,JACKSON ST,DIVISADERO ST,NS,SE,,0,09/11/2019 06:58:28 PM +0000,1633851,120,,"(37.791539999611025, -122.44107999944194)",102,4,6,30
31943,Sacramento St&Polk St NW-FS/BZ,SACOPOL0,SACOPOLK,6311,37.791516,-122.421146,0,POLK ST,SACRAMENTO ST,FS,NW,BZ,1,09/11/2019 06:58:28 PM +0000,1636192,120,,"(37.79151600020005, -122.42114599993155)",105,4,3,21
32360,Point Lobos Ave&42nd Ave NE-NS/BZ,PTLO42A0,PTLO42AV,6109,37.779651,-122.502855,0,42ND AVE,GEARY BLVD,NS,NE,BZ,0,09/11/2019 06:58:28 PM +0000,1636920,120,,"(37.77965099963923, -122.50285499979144)",8,8,4,29
30868,Divisadero St&Hayes St NE-FS/BZ,DIVIHAY1,DIVIHAYS,4425,37.775059,-122.437739,0,HAYES ST,DIVISADERO ST,FS,NE,BZ,0,09/11/2019 06:58:28 PM +0000,1633849,120,,"(37.77505899959101, -122.43773900020697)",23,4,11,9
30586,30th Ave&Quintara St SE-NS/PS,30AVQUI1,30AVQUIN,3526,37.74799,-122.4878,0,QUINTARA ST,30TH AVE,NS,SE,FL,0,09/11/2019 06:58:28 PM +0000,1633292,120,,"(37.74799000033544, -122.48780000030143)",40,10,7,35
30678,Connecticut St&26TH St NE-FS/SB,CONN26S1,CONN26ST,4129,37.75143,-122.396345,0,26TH ST,CONNECTICUT ST,FS,NE,,0,09/11/2019 06:58:28 PM +0000,1633536,120,,"(37.751429999943646, -122.39634500032639)",54,2,9,1
32844,Evans Ave&Mendell St N-FS/BZ,EVANMEND,EVANMEND,7077,37.740905,-122.384564,0,MENDELL ST,EVANS AVE,FS,NE,BZ,0,09/11/2019 06:58:28 PM +0000,1637996,120,,"(37.740904999755365, -122.38456399993585)",76,2,9,1
32870,Cortland Ave&Elsie St W-NS/BZ,CORTELS0,CORTELSE,4150,37.7397,-122.41969,0,ELSIE ST,CORTLAND AVE,NS,W,BZ,0,09/11/2019 06:58:28 PM +0000,1638039,120,,"(37.73969999963607, -122.41969000050028)",61,9,2,2
31508,Ocean Ave&Fairfield Way NW-FS/SI,OCENFFL1,OCENFFLD,5788,37.726008,-122.464072,0,FAIRFIELD WAY,OCEAN AVE,FS,NW,SI,0,09/11/2019 06:58:28 PM +0000,1635209,120,,"(37.726008000266454, -122.46407199991633)",68,10,8,41
30296,14th St&Noe St NE-NS/PS,14STNOE1,14STNOE,3258,37.76751,-122.43327,0,NOE ST,14TH ST,NS,NE,,0,09/11/2019 06:58:28 PM +0000,1632850,120,,"(37.76750999977864, -122.43327000034598)",28,7,5,5
30719,Geary Blvd&Divisadero St SW-NS/BZ,GEARDIV1,GEARDIVI,4294,37.783178,-122.439572,0,DIVISADERO ST,GEARY BLVD,NS,SW,BZ,1,09/11/2019 06:58:28 PM +0000,1633612,120,,"(37.783178000334956, -122.43957199986065)",13,8,11,39
30938,Clay St&Grant Ave SE-FS/BZ,CLAYGRN1,CLAYGRNT,4018,37.794263,-122.405971,0,GRANT AVE,CLAY ST,FS,SE,BZ,0,09/11/2019 06:58:28 PM +0000,1633687,120,,"(37.794263000438605, -122.40597100053829)",104,6,3,6
30580,26th St&De Haro St NE-NS/SB,26STDHR1,26STDHRO,3516,37.75086,-122.40015,0,DE HARO ST,26TH ST,NS,NE,,0,09/11/2019 06:58:28 PM +0000,1633280,120,,"(37.75085999992738, -122.4001500003691)",54,2,9,26
32038,Silver Ave&Holyoke St E-FS/PS,SILVHLY0,SILVHLYK,6408,37.730967,-122.410197,0,HOLYOKE ST,SILVER AVE,FS,E,,0,09/11/2019 06:58:28 PM +0000,1636857,120,,"(37.73096699992367, -122.41019700039544)",91,2,2,25
31320,Haight St&Clayton St NE-NS/BZ,HAITCLT0,HAITCLTN,4946,37.769893,-122.448467,0,CLAYTON ST,HAIGHT ST,NS,NE,BZ,0,09/11/2019 06:58:28 PM +0000,1634810,120,,"(37.769893000360476, -122.44846699980128)",25,7,11,3
33113,Daly City Bart Station W-FS/SI,DC.BARTI,,7842,37.706514,-122.468632,,WEST STATION RD,BART ACCESS RD,,,,,09/11/2019 06:58:28 PM +0000,1640128,120,,"(37.70651399986097, -122.46863199962395)",,,,
33223,Castro Station Outbound,CTROSTAO,CTRO STA,6991,37.762683,-122.435289,0,CASTRO ST,17TH ST,,,,0,09/11/2019 06:58:28 PM +0000,1638900,120,,"(37.762682999845744, -122.43528900010877)",38,3,5,5
31220,Fillmore St&Hayes St NE-FS/BZ,FILLHAY1,FILLHAYS,4621,37.776106,-122.431197,0,HAYES ST,FILLMORE ST,FS,NE,BZ,1,09/11/2019 06:58:28 PM +0000,1634368,120,,"(37.7761059996661, -122.43119700036776)",22,4,11,9
33315,Union St&Kearny St SW-NS/PS,UNINKRN1,UNINKRNY,6765,37.800758,-122.406102,0,KEARNY ST,UNION ST,NS,SW,,0,09/11/2019 06:58:28 PM +0000,1639126,120,,"(37.80075800021136, -122.4061020003975)",106,6,3,23
32627,3rd St&23rd St SW-FS/SB,.3ST23S0,3ST23ST,3108,37.75506,-122.3881,0,23RD ST,03RD ST,FS,SW,BZ,0,09/11/2019 06:58:28 PM +0000,1639512,120,,"(37.75506000026859, -122.3880999997047)",56,2,9,26
31698,Market St&Larkin St N-NS/SI,MRKTLAR0,MRKTLARK,5680,37.777598,-122.416236,0,LARKIN ST,MARKET ST,NS,E,SI,0,09/11/2019 06:58:28 PM +0000,1635631,120,,"(37.777597999644, -122.41623600025368)",21,5,10,36
31798,15th Ave&Ulloa St NE-FS/PS,15AVULO0,15AVULOA,3268,37.741525,-122.471192,0,ULLOA ST,15TH AVE,FS,NE,,0,09/11/2019 06:58:28 PM +0000,1635972,120,,"(37.74152500001773, -122.47119199964584)",46,10,8,41
31770,Bryant St&Alameda St NE-FS/BZ,BRYTALA1,BRYTALAM,3752,37.76845,-122.41068,0,ALAMEDA ST,BRYANT ST,FS,NE,BZ,0,09/11/2019 06:58:28 PM +0000,1635824,120,,"(37.768450000073905, -122.41068000025604)",53,3,9,20
32294,Sacramento St&Hyde St NE-NS/BZ,SACOHYD0,SACOHYDE,6300,37.79197,-122.417445,0,HYDE ST,SACRAMENTO ST,NS,NE,BZ,0,09/11/2019 06:58:28 PM +0000,1636993,120,,"(37.79197000002608, -122.41744500000053)",16,6,3,21
33481,Moscow St&Excelsior Ave E-NS/PS,MSCWEXCL,,7984,37.722717,-122.426454,,BRAZIL AVE,MOSCOW ST,,,,,09/11/2019 06:58:28 PM +0000,1639859,120,,"(37.72271699986672, -122.42645399952329)",90,9,1,7
30272,17th St&Noe St *-MI,17ST.NO0,17ST.NOE,3318,37.762645,-122.432991,0,NOE ST,17TH ST,MI,**,,0,09/11/2019 06:58:28 PM +0000,1632803,120,,"(37.76264499984653, -122.43299099991307)",38,3,5,5
31774,Columbus Ave&Bay St W-MB/BZ,COLM BAY,COLMN PT,4100,37.80551,-122.41784,0,BAY ST,COLUMBUS AVE,MB,SW,BZ,0,09/11/2019 06:58:28 PM +0000,1635831,120,,"(37.8055099999126, -122.41783999949399)",99,6,6,32
31607,Noe St&27th St NW-NS/PS,NOE 27S0,NOE 27ST,5732,37.74668,-122.43148,0,27TH ST,NOE ST,NS,NW,,0,09/11/2019 06:58:28 PM +0000,1635086,120,,"(37.74668000039302, -122.43147999976718)",84,9,5,22
32375,19th Ave&Randolph St NW-NS/PS,19AVRND0,19AVRNDO,3387,37.714443,-122.469998,0,RANDOLPH ST,19TH AVE,NS,W,,0,09/11/2019 06:58:28 PM +0000,1636955,120,,"(37.714442999951196, -122.46999799992774)",65,10,1,24
31366,Harrison St&8th St N-NS/BZ,HARR 8S0,HARR 8ST,4972,37.773866,-122.408513,0,8TH ST,HARRISON ST,NS,N,BZ,0,09/11/2019 06:58:28 PM +0000,1634497,120,,"(37.7738660000833, -122.4085129999903)",32,1,10,34
33257,Fulton St&46TH Ave SE-FS/BZ,FULT46A1,FULT46AV,4222,37.77148,-122.50631,0,46TH AVE,FULTON ST,FS,SE,BZ,1,09/11/2019 06:58:28 PM +0000,1638981,120,,"(37.77148000025079, -122.50631000019669)",9,8,4,12
33053,Taravel St&17th Ave SE-FS/PS,TARA17AV,,7883,37.743087,-122.473374,,,,,,,,09/11/2019 06:58:28 PM +0000,1640087,120,,"(37.743087000119914, -122.47337399967118)",46,10,8,41
31747,Miraloma Dr&Juanita Way S-NS/SB,MIRAJUA1,MIRAJUAN,5516,37.739199,-122.460026,0,JUANITA WAY,MIRALOMA DR,NS,S,,0,09/11/2019 06:58:28 PM +0000,1635538,120,,"(37.739199000135834, -122.46002600021599)",117,9,8,41
31160,Lawton St&11th Ave NE-NS/SB,LAWT11A0,LAWT11AV,4856,37.7584,-122.46793,0,11TH AVE,LAWTON ST,NS,NE,FL,0,09/11/2019 06:58:28 PM +0000,1634079,120,,"(37.75839999964978, -122.46792999997501)",109,10,8,14
30829,Garfield St&Bright St NE-NS/SB,GARFBRG1,GARFBRGT,4246,37.719988,-122.463459,0,BRIGHT ST,GARFIELD ST,NS,NE,,0,09/11/2019 06:58:28 PM +0000,1633798,120,,"(37.71998800026605, -122.46345900045198)",64,10,1,24
31858,Innes Ave&Griffith St E-NS/PS,INESGRI1,INESGRIF,5101,37.732004,-122.375614,0,GRIFFITH ST,INNES AVE,NS,E,,0,09/11/2019 06:58:28 PM +0000,1636262,120,,"(37.73200400026296, -122.37561399953896)",76,2,9,1
31509,Ocean Ave&Howth St NW-FS/PS,OCENHOW0,OCENHOWT,5790,37.723022,-122.449784,0,HOWTH ST,OCEAN AVE,FS,NW,,0,09/11/2019 06:58:28 PM +0000,1635217,120,,"(37.72302199979425, -122.44978400017595)",95,9,8,24
33359,Sutter St&Kearny St NW-FS/BZ,SUTTKRN0,SUTTKRNY,6596,37.789818,-122.404378,0,KEARNY ST,SUTTER ST,FS,NW,BZ,0,09/11/2019 06:58:28 PM +0000,1638245,120,,"(37.78981800030653, -122.40437799966742)",19,6,3,8
32558,Post St&Grant Ave S-MB/BB,POSTGRN1,POSTGRNT,6125,37.78855,-122.40599,0,GRANT AVE,POST ST,MB,S,BB,0,09/11/2019 06:58:28 PM +0000,1637363,120,,"(37.78854999967554, -122.40599000042346)",19,6,3,8
29813,Balboa St&23RD Ave NE-NS/PS,BBOA23A0,BBOA23AV,3049,37.77647,-122.48219,0,23RD AVE,BALBOA ST,NS,NE,,0,09/11/2019 06:58:28 PM +0000,1632368,120,,"(37.776470000040646, -122.48219000002852)",8,8,4,29
33429,3rd St&20th St SW-FS/SI,3ST 20S1,3ST 20S1,7362,37.760367,-122.388593,0,20TH ST,03RD ST,FS,SW,SI,0,09/11/2019 06:58:28 PM +0000,1638301,120,,"(37.7603670004395, -122.38859299966917)",55,2,9,26
33255,Clay St&Kearny St SE-FS/BZ,CLAYKRN1,CLAYKRNY,4021,37.794477,-122.404411,0,KEARNY ST,CLAY ST,FS,SE,BZ,0,09/11/2019 06:58:28 PM +0000,1638979,120,,"(37.7944770001248, -122.40441099981945)",104,6,3,6
30299,22nd Ave&Kirkham St SE-NS/PS,22AVKIR1,22AVKIRK,3427,37.759592,-122.47998,0,KIRKHAM ST,22ND AVE,NS,SE,,0,09/11/2019 06:58:28 PM +0000,1632856,120,,"(37.759592000118836, -122.4799799996125)",39,10,7,35
33319,Santos St&Geneva Ave N-NS/SB,SANTGNV0,SANTGNVA,6344,37.7085,-122.42008,0,GENEVA AVE,SANTIAGO ST,NS,N,,0,09/11/2019 06:58:28 PM +0000,1639135,120,,"(37.708499999656034, -122.42007999980892)",74,9,9,40
32572,North Point St&Larkin St NE-NS/BZ,N.PTLAR0,N.PTLARK,5464,37.80559,-122.42189,0,LARKIN ST,NORTH POINT ST,NS,NE,BZ,0,09/11/2019 06:58:28 PM +0000,1637596,120,,"(37.80558999992828, -122.42189000001729)",98,6,6,32
30552,Carl St&Hillway Ave SE-FS/FL,CARLHLW1,CARLHLWY,3913,37.764932,-122.456512,0,HILLWAY AVE,CARL ST,NS,SW,,1,09/11/2019 06:58:28 PM +0000,1633379,120,,"(37.76493200036437, -122.45651200045863)",110,7,11,14
32448,San Bruno Ave&Arleta Ave NE-FS/BZ,SBROARL1,SBROARLT,6352,37.712289,-122.402419,0,ARLETA AVE,BAYSHORE BLVD,FS,NE,BZ,1,09/11/2019 06:58:28 PM +0000,1637392,120,,"(37.71228900039682, -122.40241899974755)",75,9,9,40
33127,Teresita Blvd&Isola Way E-MB/SB,TEREISL1,TEREISLA,6672,37.74184,-122.450472,0,ISOLA WAY,TERESITA BLVD,MB,E,,0,09/11/2019 06:58:28 PM +0000,1638673,120,,"(37.74184000037092, -122.45047200018529)",72,9,8,41
33627,Treasure Island Rd&Clipper Cove Way SE-NS/SB,TIRDCLCO,,8000,37.815998,-122.371277,,,AVENUE OF PALMS,,,,,09/11/2019 06:58:28 PM +0000,1639990,120,,"(37.81599800022436, -122.37127700009901)",36,1,10,37
30994,Diamond St&29TH St SE-NS/PS,DIAM29SE,DIAM29ST,4381,37.74308,-122.435487,0,29TH ST,DIAMOND ST,NS,SE,,0,09/11/2019 06:58:28 PM +0000,1633985,120,,"(37.743080000189074, -122.435486999973)",59,9,5,10
32155,Sacramento St&Jones St NE-NS/BZ,SACOJON0,SACOJONE,6301,37.792396,-122.414161,0,JONES ST,SACRAMENTO ST,NS,NE,BZ,0,09/11/2019 06:58:28 PM +0000,1636755,120,,"(37.79239600044386, -122.41416100021138)",16,6,3,21
33379,22nd Ave&Judah St SE-NS/PS,22AVJUD1,22AVJUDA,3426,37.761457,-122.480106,0,JUDAH ST,22ND AVE,NS,SE,,1,09/11/2019 06:58:28 PM +0000,1639735,120,,"(37.76145700004846, -122.48010599969393)",39,10,7,35
31103,Lombard St&Kearny St SW-NS/SB,LOMBKRN0,LOMBKRNY,5279,37.803559,-122.406525,0,KEARNY ST,LOMBARD ST,NS,SW,,0,09/11/2019 06:58:28 PM +0000,1634615,120,,"(37.80355899982454, -122.40652499948902)",18,6,3,23
33161,Third Street&Marin St. SE-NS/SB,.3STMRN1,,7377,37.748945,-122.387422,0,MARIN ST,3RD ST,,,,0,09/11/2019 06:58:28 PM +0000,1638744,120,,"(37.74894500030266, -122.3874219998337)",56,2,9,1
30951,Cole St&Carl St SW-FS/BZ,COLECAR0,COLECARL,4092,37.76556,-122.44996,0,CARL ST,COLE ST,FS,SW,BZ,1,09/11/2019 06:58:28 PM +0000,1633703,120,,"(37.765560000186504, -122.4499600001814)",29,7,11,3
32069,Green St&Steiner St NE-NS/SB,GRENSTE0,GRENSTEI,4919,37.79599,-122.4368,0,STEINER ST,GREEN ST,NS,NE,,0,09/11/2019 06:58:28 PM +0000,1637021,120,,"(37.795990000289464, -122.4368000002624)",15,4,6,13
32036,Sutter St&Fillmore St NE-NS/BZ,SUTTFIL0,SUTTFILL,6591,37.786158,-122.433151,0,FILLMORE ST,SUTTER ST,NS,NE,BZ,1,09/11/2019 06:58:28 PM +0000,1636854,120,,"(37.786157999617096, -122.43315100018438)",101,4,11,30
31862,Gateview Ave&Bayside Dr NE-NS,GTVWBAY0,GTVWBAYS,4934,37.829848,-122.375254,0,BAYSIDE DR,GATEVIEW AVE,NS,NE,FL,0,09/11/2019 06:58:28 PM +0000,1636267,120,,"(37.82984799962226, -122.37525400011647)",36,1,10,37
32116,Taraval St&26th Ave SW-NS/PS,TARA26A1,TARA26AV,6623,37.742653,-122.483324,0,26TH AVE,TARAVAL ST,NS,SW,,0,09/11/2019 06:58:28 PM +0000,1636682,120,,"(37.742653000048826, -122.48332400036378)",40,10,7,35
31818,Carl St&Stanyan St SW-NS,CARLSTA1,CARLSTAN,3915,37.765371,-122.452928,0,STANYAN ST,CARL ST,NS,SW,,0,09/11/2019 06:58:28 PM +0000,1636001,120,,"(37.765371000245544, -122.45292799976787)",110,7,11,14
33371,Parnassus Ave&Hillway Ave NW-FS/BZ,PARNHLW0,PARNHLWY,5891,37.763807,-122.45697,0,HILLWAY AVE,PARNASSUS AVE,FS,NW,BZ,0,09/11/2019 06:58:28 PM +0000,1639720,120,,"(37.76380700029112, -122.45697000024431)",110,7,11,14
32120,Rhode Island St&15th St SE-NS/SB,R IS15S1,R IS15ST,6188,37.767315,-122.402729,0,15TH ST,RHODE ISLAND ST,NS,SE,,1,09/11/2019 06:58:28 PM +0000,1636692,120,,"(37.767314999973145, -122.40272900016757)",33,1,9,4
33647,California St&Leavenworth St S-MI,CALILEA1,CALILEAV,3878,37.791133,-122.415749,0,LEAVENWORTH ST,CALIFORNIA ST,MI,S,,0,09/11/2019 06:58:28 PM +0000,1638470,120,,"(37.79113300037238, -122.41574899950236)",16,6,3,21
33591,37th AVE&Ortega St SW-FS/BZ,37AVSUNS,,7835,37.751298,-122.495559,,ORTEGA ST,37TH AVE,,,,,09/11/2019 06:58:28 PM +0000,1639941,120,,"(37.75129800015923, -122.49555899955531)",39,10,7,35
31262,Golden Gate Bridge Toll Plaza SE-NS,GGBRTOL0,GGBRTOLL,4778,37.807257,-122.475367,0,HWY 101 N ON RAMP,HWY 101 NORTHBOUND,NS,SE,,0,09/11/2019 06:58:28 PM +0000,1634550,120,,"(37.807256999718064, -122.47536699952374)",3,,6,27
30267,3rd St&Van Dyke Ave S-NS/SB,.3STVDY1,3STVDYK,3149,37.729238,-122.392593,0,VAN DYKE AVE,3RD ST,NS,S,BZ,0,09/11/2019 06:58:28 PM +0000,1632789,120,,"(37.72923800031954, -122.3925929998241)",86,2,9,1
32990,Crescent Ave&Folsom St SW-NS/PS,CRESFOL1,CRESFOLS,4196,37.73467,-122.413804,0,FOLSOM ST,CRESCENT AVE,NS,SW,,0,09/11/2019 06:58:28 PM +0000,1638502,120,,"(37.73466999991024, -122.41380400025531)",83,9,2,2
33484,Moscow St&Avalon Ave E-NS/PS,MSCWAVLN,,7985,37.724278,-122.425285,,AVALON AVE,MOSCOW ST,,,,,09/11/2019 06:58:28 PM +0000,1639863,120,,"(37.72427799971629, -122.4252849999664)",90,9,1,7
33555,Right Of Way&Sloat Blvd SE-NS/SB,ROW SLO1,ROW SLOA,6225,37.734298,-122.47189,0,SLOAT BLVD,RIGHT OF WAY,NS,SE,,0,09/11/2019 06:58:28 PM +0000,1638417,120,,"(37.734298000094654, -122.4718899995068)",62,10,8,41
30393,25th Ave&Lake St SE-NS/SB,25AVLAK0,25AVLAKE,3503,37.785689,-122.485034,0,CALIFORNIA ST,25TH AVE,NS,SE,,0,09/11/2019 06:58:28 PM +0000,1632944,120,,"(37.78568899989826, -122.485034000295)",2,8,4,29
32822,Parnassus Ave&Cole St NW-FS/BZ,PARNCOL0,PARNCOLE,5889,37.764905,-122.450083,0,COLE ST,PARNASSUS AVE,FS,NW,BZ,0,09/11/2019 06:58:28 PM +0000,1638178,120,,"(37.76490500011287, -122.45008299978582)",29,7,11,3
30571,Clarendon Ave&Panorama Dr S-NS/PS,CLDNPNR1,CLDNPNRM,4037,37.75368,-122.455514,0,PANORAMA DR,CLARENDON AVE,NS,SE,,0,09/11/2019 06:58:28 PM +0000,1633415,120,,"(37.753679999976804, -122.45551400018721)",48,7,8,38
32678,Steiner St&Sacramento St SE-NS/SB,STEISAC1,STEISACO,6489,37.789329,-122.435556,0,SACRAMENTO ST,STEINER ST,NS,SE,,0,09/11/2019 06:58:28 PM +0000,1637712,120,,"(37.789329000317146, -122.435555999814)",102,4,6,30
31566,Lincoln Way&21st Ave SW-NS/BZ,LWAY21A1,LWAY21AV,5311,37.765285,-122.479489,0,21ST AVE,LINCOLN WY,NS,SW,BZ,1,09/11/2019 06:58:28 PM +0000,1635423,120,,"(37.76528500037731, -122.47948899968658)",39,10,7,35
33033,New Hall & Hudson St,NHL.HUDS,,7772,37.73997,-122.388403,,,,,,BZ,,09/11/2019 06:58:28 PM +0000,1640046,120,,"(37.739970000325684, -122.38840299974414)",86,2,9,1
30893,Folsom St&14TH St SW-FS/BZ,FOLS14S0,FOLS14ST,4666,37.768461,-122.415667,0,FOLSOM ST,14TH ST,NS,NW,,0,09/11/2019 06:58:28 PM +0000,1634257,120,,"(37.76846099964603, -122.41566700040529)",53,3,2,20
32817,Van Dyke Ave&Lane St E-NS,VDYKLAN0,VDYKLANE,6843,37.729202,-122.392238,0,LANE ST,VAN DYLE AVE,NS,E,FL,0,09/11/2019 06:58:28 PM +0000,1638173,120,,"(37.72920200005379, -122.39223799987188)",86,2,9,1
31589,Mission St&14th St NE-FS/BZ,MISS14S1,MISS14ST,5547,37.76862,-122.41993,0,14TH ST,MISSION ST,FS,NE,BZ,0,09/11/2019 06:58:28 PM +0000,1635310,120,,"(37.76861999986332, -122.41992999954762)",53,3,2,20
32658,Union St&Lyon St SE-FS/PS,UNINLYO1,UNINLYON,6772,37.795599,-122.446702,0,LYON ST,UNION ST,FS,SE,,0,09/11/2019 06:58:28 PM +0000,1637945,120,,"(37.7955989999973, -122.44670199986136)",14,4,6,13
30763,Duboce Ave&Church St SW-NS/SI,DUBOCHU1,DUBOCHUR,4448,37.769409,-122.4294,0,CHURCH ST,DUBOCE AVE,NS,SW,SI,0,09/11/2019 06:58:28 PM +0000,1633764,120,,"(37.76940899969925, -122.42940000034069)",28,7,5,5
31024,The Embarcadero&Green St SW-FS/SI,EMBRGRE0,EMBRGREN,4518,37.800605,-122.39892,0,GREEN ST,THE EMBARCADERO,FS,SW,SI,0,09/11/2019 06:58:28 PM +0000,1634134,120,,"(37.800605000014976, -122.3989199999105)",77,6,3,8
31667,Post St&Powell St SE-FS/BZ,POSTPOW1,POSTPOWL,6022,37.7883,-122.40793,0,POWELL ST,POST ST,FS,SE,BZ,0,09/11/2019 06:58:28 PM +0000,1636125,120,,"(37.78830000032245, -122.40793000052626)",19,6,3,8
31301,Judah St&46th Ave NE-NS/SI,JUDA46A0,JUDA46AV,5215,37.760493,-122.505832,0,46TH AVE,JUDAH ST,NS,NE,SI,0,09/11/2019 06:58:28 PM +0000,1635045,120,,"(37.76049300037137, -122.50583200005175)",39,10,7,35
31802,6th Ave&Clement St NW-NS/BZ,.6AVCLM2,6AVCLMT,3181,37.783026,-122.464526,0,CLEMENT ST,6TH AVE,NS,NW,BZ,1,09/11/2019 06:58:28 PM +0000,1635982,120,,"(37.7830260002949, -122.46452599943756)",5,8,4,11
31175,Larkin St&Eddy St SE-NS/BZ,LARKEDD1,LARKEDDY,4846,37.783228,-122.417415,0,EDDY ST,LARKIN ST,NS,SE,BZ,0,09/11/2019 06:58:28 PM +0000,1634315,120,,"(37.78322800008783, -122.41741500048167)",20,5,10,36
33400,19th Ave& Winston Dr NW-NS/SB,19AVWIN2,,7448,37.727258,-122.475098,0,WINSTON DR,19TH AVE,,,,0,09/11/2019 06:58:28 PM +0000,1639777,120,,"(37.72725800008048, -122.47509800003333)",41,10,8,16
31673,Civic Center Station Outbound,CIVC ST0,CIVC STA,6997,37.778675,-122.414995,0,METRO TUNNEL,CIVIC CENTER STATION,,,,0,09/11/2019 06:58:28 PM +0000,1636136,120,,"(37.77867500033067, -122.41499499995186)",21,5,10,36
31147,Folsom St&Bessie St NW-NS/PS,FOLSBES1,FOLSBESS,4686,37.74687,-122.41362,0,BESSIE ST,FOLSOM ST,NS,NW,,0,09/11/2019 06:58:28 PM +0000,1634063,120,,"(37.74687000015037, -122.4136199999337)",83,9,2,2
30650,California St&Davis St SW-NS,CALIDAV1,CALIDAVS,3857,37.79342,-122.397749,0,DAVIS ST,CALIFORNIA ST,NS,SW,,0,09/11/2019 06:58:28 PM +0000,1633479,120,,"(37.79341999981803, -122.39774900015902)",108,6,3,8
30448,Ashbury St&Waller St SE-NS/PS,ASHBWAL1,ASHBWALL,3666,37.76901,-122.446656,0,FREDERICK ST,ASHBURY ST,NS,SE,,0,09/11/2019 06:58:28 PM +0000,1633155,120,,"(37.769010000066075, -122.44665600028057)",25,7,11,3
31911,Union St&Gough St NE-NS/BZ,UNINGOU0,UNINGOUG,6756,37.798211,-122.427177,0,GOUGH ST,UNION ST,NS,NE,BZ,0,09/11/2019 06:58:28 PM +0000,1635936,120,,"(37.79821099964254, -122.42717699951159)",15,4,6,13
33054,West Portal & Sloat Blvd,W P SLO0,,7802,37.735039,-122.471515,,,WEST PORTAL AVE,,,,,09/11/2019 06:58:28 PM +0000,1640091,120,,"(37.73503900020671, -122.47151500050408)",46,10,8,41
31971,Folsom St&14TH St SE-NS/BZ,FOLS14S1,FOLS14ST,4667,37.768461,-122.41553,0,14TH ST,FOLSOM ST,NS,SE,,0,09/11/2019 06:58:28 PM +0000,1636373,120,,"(37.76846100019603, -122.41553000002743)",53,3,2,20
30573,Clement St&4TH Ave NW-FS/BZ,CLMT 4A0,CLMT 4AV,4040,37.78309,-122.46257,0,04TH AVE,CLEMENT ST,FS,NW,BZ,0,09/11/2019 06:58:28 PM +0000,1633418,120,,"(37.78309000029836, -122.46257000055911)",5,8,4,11
32811,Warren Dr&Devonshire Way E-NS/AB,WARNDVS1,WARNDVSR,6912,37.754474,-122.461083,0,DEVONSHIRE WAY,WARREN DR,NS,E,AB,0,09/11/2019 06:58:28 PM +0000,1638161,120,,"(37.7544740004273, -122.46108299998765)",111,7,8,14
32656,Union St&Laguna St NE-NS/BZ,UNINLGN0,UNINLGNA,6770,37.797792,-122.430456,0,LAGUNA ST,UNION ST,NS,NE,BZ,0,09/11/2019 06:58:28 PM +0000,1637941,120,,"(37.79779200044371, -122.4304560004853)",15,4,6,13
31383,Jerrold Ave&Selby St N-FS/SB,JERRSLB0,JERRSLBY,5181,37.743302,-122.396787,0,I-280 N OFF RAMP,JERROLD AVE,FS,N,,0,09/11/2019 06:58:28 PM +0000,1634733,120,,"(37.74330199997939, -122.39678699949535)",85,2,9,1
